model_name,organization,parameters_b,average_score,benchmark_ifeval,benchmark_bbh,benchmark_math_lvl5,benchmark_gpqa,benchmark_musr,benchmark_mmlu_pro,license,release_date,co2_cost_kg,model_type
DreadPoor/Lava_Lamp-8B-SLERP,DreadPoor,8.03,29.154893020196578,73.81170848903133,33.802734199229576,17.371601208459214,7.38255033557047,12.00520833333333,30.555555555555557,,,1.264561277760501,🤝 base merges and moerges
DreadPoor/LemonP-8B-Model_Stock,DreadPoor,8.03,30.052497237216315,76.76176988169169,35.371476735853804,17.673716012084594,7.046979865771815,10.079687499999997,33.38135342789598,apache-2.0,2024-11-08,1.3972866396390922,🤝 base merges and moerges
DreadPoor/Lydia_of_Whiterun-8B-LINEAR,DreadPoor,8.03,30.10503527354818,76.03237188437791,33.86908733681889,17.673716012084594,8.83668903803132,13.099479166666663,31.11886820330969,,,0.6539682055402704,🤝 base merges and moerges
DreadPoor/Matryoshka-8B-LINEAR,DreadPoor,8.03,29.825025523646488,72.62519005128615,35.110911704209016,17.522658610271904,9.395973154362418,12.456249999999999,31.839169621749413,,,1.3246274294755,🤝 base merges and moerges
DreadPoor/Mercury_In_Retrograde-8b-Model-Stock,DreadPoor,8.03,29.2612899751994,72.96240641497891,34.38486477258895,16.46525679758308,8.83668903803132,11.485677083333329,31.432845744680847,,,1.347093322001088,🤝 base merges and moerges
DreadPoor/Minthy-8B-Model_Stock,DreadPoor,8.03,30.052988869325077,76.57692699814271,34.170029690638636,19.184290030211482,7.158836689038028,9.975781249999995,33.25206855791962,,,1.3610815072271032,🤝 base merges and moerges
DreadPoor/Minthy_ALT-8B-Model_Stock,DreadPoor,8.03,28.422530280387416,69.91992358054407,34.16825686462601,17.598187311178247,7.494407158836691,11.648437499999998,29.70596926713948,,,1.3178485106532778,🤝 base merges and moerges
DreadPoor/Minthy_V2-8B-Model_Stock,DreadPoor,8.03,28.428890431570498,71.25881549843305,35.82274773153525,15.93655589123867,5.92841163310962,11.219010416666663,30.40780141843972,,,1.3756823635961435,🤝 base merges and moerges
DreadPoor/Minus_Penus-8B-Model_Stock,DreadPoor,8.03,29.14247782385972,73.11477989512272,33.57084078325773,20.01510574018127,7.941834451901568,9.638281249999997,30.57402482269504,,,0.6067024859198201,🤝 base merges and moerges
DreadPoor/Morphing-8B-Model_Stock,DreadPoor,8.03,29.281274084097088,74.45367181301171,34.452420920507734,18.882175226586103,5.8165548098433995,10.391406249999998,31.691415484633573,,,1.3703618658259002,🤝 base merges and moerges
DreadPoor/Not_Even_My_Final_Form-8B-Model_Stock,DreadPoor,8.03,29.473061853716462,77.21889032212307,33.71901446820086,17.598187311178247,6.040268456375841,10.70911458333333,31.55289598108747,,,1.3929903739376703,🤝 base merges and moerges
DreadPoor/Nother_One-8B-Model_Stock,DreadPoor,8.03,26.077271313760956,68.63101016414225,31.92112823138842,15.181268882175228,5.257270693512303,6.6442708333333345,28.82867907801418,,,1.262117274440706,🤝 base merges and moerges
DreadPoor/Noxis-8B-LINEAR,DreadPoor,8.03,29.287317950959928,69.13057354486097,34.8222565522494,19.788519637462233,9.172259507829976,13.252083333333333,29.558215130023648,,2025-03-12,0.632762720740592,🤝 base merges and moerges
DreadPoor/Nullsworn-12B-LINEAR,DreadPoor,12.248,23.778140361939588,44.35608629547379,35.51240857664764,11.253776435045317,7.718120805369126,14.436458333333329,29.391991725768314,,2025-03-09,0.8642260980352026,🤝 base merges and moerges
DreadPoor/Nwah-8B-Model_Stock,DreadPoor,8.03,29.720182729588192,77.15893828375377,34.11306781436337,17.97583081570997,8.05369127516779,9.82682291666667,31.19274527186761,,,0.6453176169467952,🤝 base merges and moerges
DreadPoor/ONeil-model_stock-8B,DreadPoor,8.03,26.935908369361425,67.85662043378235,36.4126125295027,10.120845921450151,7.38255033557047,10.967968749999995,28.874852245862886,cc-by-nc-4.0,2024-07-06,1.5288975332798018,🤝 base merges and moerges
DreadPoor/Oh_Boy-8B-LINEAR,DreadPoor,8.03,29.675174242254258,75.0306963301817,34.14329045372282,17.82477341389728,7.718120805369126,11.679687499999998,31.654476950354614,,,1.335458516352382,🤝 base merges and moerges
DreadPoor/OrangeJ-8B-Model_Stock,DreadPoor,8.03,30.2188791324389,78.41039552830932,35.15080738484264,17.598187311178247,6.823266219239373,10.346354166666663,32.98426418439716,,,1.4141550662108153,🤝 base merges and moerges
DreadPoor/Promissum_Mane-8B-LINEAR,DreadPoor,8.03,29.099649072440133,71.50361042035134,35.253190231117536,15.55891238670695,7.270693512304249,13.338541666666666,31.672946217494097,,,1.6572930442289775,🤝 base merges and moerges
DreadPoor/Promissum_Mane-8B-LINEAR-lorablated,DreadPoor,8.03,28.82332716689665,71.56356245872064,34.60910725048443,15.332326283987916,7.158836689038028,13.840624999999998,30.43550531914893,,,1.5846849960800864,🤝 base merges and moerges
DreadPoor/RPMash-8B-Model_Stock,DreadPoor,8.03,21.700898440005755,45.635026174993456,31.112591631105516,10.80060422960725,4.921700223713646,8.805208333333335,28.930260047281326,,,1.3049476110310343,🤝 base merges and moerges
DreadPoor/RPMash_V3-8B-Model_Stock,DreadPoor,8.03,25.785089599589032,70.491961329273,31.99104716376097,10.42296072507553,6.711409395973152,6.052083333333336,29.041075650118202,,,1.2215115599421278,🤝 base merges and moerges
